"","X.2","Gm.","Year","DATE","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"19",19,19,2017,"2017-04-23","boxscore","BOS","@","BAL","W",6,2,NA,"8-Nov",3,"2","Rodriguez","Gausman","Kimbrel","3:34","D",35522,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,47,58,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,20,2017,"2017-04-26","boxscore","BOS","","NYY","L",1,3,NA,"9-Nov",3,"3","Severino","Porcello","Chapman","3:16","N",32072,"-",NA,"USW00014739","BOSTON, MA US",0.56,0,NA,50,56,45,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,21,2017,"2017-04-27","boxscore","BOS","","NYY","L",0,3,NA,"10-Nov",3,"3.5","Tanaka","Sale","","2:21","N",34054,"--",NA,"USW00014739","BOSTON, MA US",0,0,NA,53,59,50,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,22,2017,"2017-04-28","boxscore","BOS","","CHC","W",5,4,NA,"10-Dec",3,"2.5","Pomeranz","Arrieta","Kimbrel","3:28","N",37054,"+",NA,"USW00014739","BOSTON, MA US",0.01,0,NA,63,82,51,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,23,2017,"2017-04-29","boxscore","BOS","","CHC","L",4,7,NA,"11-Dec",3,"3.5","Lackey","Wright","Davis","3:00","D",36776,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,73,84,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,24,2017,"2017-04-30","boxscore","BOS","","CHC","W",6,2,NA,"13-11",3,"2.5","Barnes","Uehara","","3:28","N",36916,"+",NA,"USW00014739","BOSTON, MA US",0.01,0,NA,55,64,45,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,25,2017,"2017-05-01","boxscore","BOS","","BAL","L",2,5,NA,"13-12",3,"3.5","Bundy","Porcello","Brach","3:10","N",33489,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,47,48,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,26,2017,"2017-05-02","boxscore","BOS","","BAL","W",5,2,NA,"14-12",3,"2.5","Sale","Asher","Kimbrel","2:33","N",32932,"+",NA,"USW00014739","BOSTON, MA US",0.19,0,NA,49,66,44,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,27,2017,"2017-05-03","boxscore","BOS","","BAL","W",4,2,NA,"15-12",3,"2.5","Pomeranz","Gausman","Kimbrel","3:24","N",33162,"++",NA,"USW00014739","BOSTON, MA US",0,0,NA,56,64,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,28,2017,"2017-05-04","boxscore","BOS","","BAL","L",3,8,NA,"15-13",3,"3","Wilson","Kendrick","","3:21","N",36563,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,51,56,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
