"","Gm.","Year","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"39",39,2017,2017-05-17,"boxscore","BOS","@","STL","W",5,4,13,"21-18",3,"4","Abad","Tuivailala","Taylor","4:20","N","44365","++",NA
"40",40,2017,2017-05-18,"boxscore","BOS","@","OAK","L",3,8,NA,"21-19",3,"4","Gray","Velazquez","","3:09","N","12016","-",NA
"41",41,2017,2017-05-19,"boxscore","BOS","@","OAK","L-wo",2,3,10,"21-20",3,"4","Dull","Hembree","","3:12","N","24728","--",NA
"42",42,2017,2017-05-20,"boxscore","BOS","@","OAK","L",3,8,NA,"21-21",4,"4.5","Manaea","Taylor","","3:22","D","20235","---",NA
"43",43,2017,2017-05-21,"boxscore","BOS","@","OAK","W",12,3,NA,"22-21",3,"4","Rodriguez","Triggs","","3:11","D","20691","+",NA
"44",44,2017,2017-05-23,"boxscore","BOS","","TEX","W",11,6,NA,"23-21",3,"3.5","Porcello","Cashner","","3:23","N","34769","++",NA
"45",45,2017,2017-05-24,"boxscore","BOS","","TEX","W",9,4,NA,"24-21",3,"3.5","Sale","Dyson","","2:59","N","36089","+++",NA
"46",46,2017,2017-05-25,"boxscore","BOS","","TEX","W",6,2,NA,"25-21",3,"3","Pomeranz","Martinez","","3:23","N","33484","++++",NA
"47",47,2017,2017-05-26,"boxscore","BOS","","SEA","W",3,0,NA,"26-21",2,"2","Rodriguez","Gallardo","Kimbrel","3:11","N","35080","+++++",NA
"48",48,2017,2017-05-27,"boxscore","BOS","","SEA","W",6,0,NA,"27-21",2,"2","Johnson","Whalen","","2:23","D","36985","++++++",NA
"49",49,2017,2017-05-28,"boxscore","BOS","","SEA","L",0,5,NA,"27-22",2,"3","Bergman","Porcello","","3:14","D","37174","-",NA
"50",50,2017,2017-05-29,"boxscore","BOS","@","CHW","L",4,5,NA,"27-23",2,"3","Minaya","Barnes","Robertson","3:16","D","27148","--",NA
"51",51,2017,2017-05-30,"boxscore","BOS","@","CHW","W",13,7,NA,"28-23",2,"3","Sale","Quintana","Kimbrel","3:53","N","21852","+",NA
"52",52,2017,2017-05-31,"boxscore","BOS","@","CHW","W",4,1,NA,"29-23",2,"2","Pomeranz","Swarzak","Kimbrel","2:59","N","19075","++",NA
"53",53,2017,2017-06-01,"boxscore","BOS","@","BAL","L",5,7,NA,"29-24",2,"3","Miley","Rodriguez","","2:38","N","20150","-",NA
"54",54,2017,2017-06-02,"boxscore","BOS","@","BAL","L",2,3,NA,"29-25",3,"3","Asher","Porcello","Brach","2:59","N","33193","--",NA
"55",55,2017,2017-06-03,"boxscore","BOS","@","BAL","W",5,2,NA,"30-25",2,"3","Price","Bundy","Kimbrel","3:22","N","35470","+",NA
"56",56,2017,2017-06-04,"boxscore","BOS","@","BAL","W",7,3,NA,"31-25",2,"2","Sale","Tillman","","3:06","D","31819","++",NA
"57",57,2017,2017-06-06,"boxscore","BOS","@","NYY","W",5,4,NA,"32-25",2,"1","Pomeranz","Tanaka","Kimbrel","3:35","N","41516","+++",NA
"58",58,2017,2017-06-07,"boxscore","BOS","@","NYY","L",0,8,NA,"32-26",2,"2","Sabathia","Porcello","","2:42","N","44380","-",NA
"59",59,2017,2017-06-08,"boxscore","BOS","@","NYY","L",1,9,NA,"32-27",2,"3","Pineda","Price","","3:27","N","46194","--",NA
"60",60,2017,2017-06-09,"boxscore","BOS","","DET","W",5,3,NA,"33-27",2,"3","Barnes","Wilson","Kimbrel","3:36","N","36853","+",NA
"61",61,2017,2017-06-10,"boxscore","BOS","","DET","W",11,3,NA,"34-27",2,"3","Sale","Saupold","","3:39","N","37162","++",NA
"62",62,2017,2017-06-11,"boxscore","BOS","","DET","L",3,8,NA,"34-28",2,"4","Norris","Pomeranz","","4:06","N","35457","-",NA
"63",63,2017,2017-06-12,"boxscore","BOS","","PHI","W-wo",6,5,11,"35-28",2,"4","Barnes","Fien","","4:16","N","36757","+",NA
"64",64,2017,2017-06-13,"boxscore","BOS","","PHI","W-wo",4,3,12,"36-28",2,"3","Abad","Garcia","","4:24","N","37141","++",NA
"65",65,2017,2017-06-14,"boxscore","BOS","@","PHI","W",7,3,NA,"37-28",2,"2","Velazquez","Hellickson","","3:26","N","28263","+++",NA
"66",66,2017,2017-06-15,"boxscore","BOS","@","PHI","L",0,1,NA,"37-29",2,"2","Neshek","Sale","Neris","2:25","N","30729","-",NA
"67",67,2017,2017-06-16,"boxscore","BOS","@","HOU","W",2,1,NA,"38-29",2,"1","Kelly","Harris","Kimbrel","3:11","N","36189","+",NA
"68",68,2017,2017-06-17,"boxscore","BOS","@","HOU","L",1,7,NA,"38-30",2,"1","Paulino","Porcello","","2:34","N","41017","-",NA
"69",69,2017,2017-06-18,"boxscore","BOS","@","HOU","W",6,5,NA,"39-30",1,"Tied","Price","Musgrove","Kimbrel","4:08","N","38389","+",NA
"70",70,2017,2017-06-19,"boxscore","BOS","@","KCR","L",2,4,NA,"39-31",2,"0.5","Hammel","Boyer","Herrera","3:11","N","27992","-",NA
"71",71,2017,2017-06-20,"boxscore","BOS","@","KCR","W",8,3,NA,"40-31",1,"up 0.5","Sale","Strahm","","2:54","N","25983","+",NA
"72",72,2017,2017-06-21,"boxscore","BOS","@","KCR","L",4,6,NA,"40-32",2,"0.5","Soria","Scott","Herrera","3:07","D","30826","-",NA
"73",73,2017,2017-06-23,"boxscore","BOS","","LAA","W",9,4,NA,"41-32",1,"Tied","Porcello","Meyer","","3:07","N","37034","+",NA
"74",74,2017,2017-06-24,"boxscore","BOS","","LAA","L",3,6,NA,"41-33",1,"Tied","Ramirez","Price","Parker","3:34","N","36868","-",NA
"75",75,2017,2017-06-25,"boxscore","BOS","","LAA","L",2,4,NA,"41-34",1,"Tied","Bridwell","Fister","Petit","2:50","D","36474","--",NA
"76",76,2017,2017-06-26,"boxscore","BOS","","MIN","W",4,1,NA,"42-34",1,"Tied","Sale","Berrios","Kimbrel","2:55","N","37172","+",NA
"77",77,2017,2017-06-27,"boxscore","BOS","","MIN","W",9,2,NA,"43-34",1,"up 1.0","Pomeranz","Santiago","","3:18","N","36804","++",NA
"78",78,2017,2017-06-28,"boxscore","BOS","","MIN","L",1,4,NA,"43-35",1,"Tied","Mejia","Porcello","Kintzler","3:14","N","37487","-",NA
"79",79,2017,2017-06-29,"boxscore","BOS","","MIN","W",6,3,NA,"44-35",1,"up 1.0","Price","Gibson","Kimbrel","3:24","N","37445","+",NA
"80",80,2017,2017-06-30,"boxscore","BOS","@","TOR","W",7,4,11,"45-35",1,"up 1.0","Boyer","Loup","Kimbrel","4:44","N","41357","++",NA
"81",81,2017,2017-07-01,"boxscore","BOS","@","TOR","W",7,1,NA,"46-35",1,"up 2.0","Sale","Liriano","","2:54","D","46672","+++",NA
"82",82,2017,2017-07-02,"boxscore","BOS","@","TOR","W",15,1,NA,"47-35",1,"up 3.0","Pomeranz","Biagini","Abad","3:34","D","46696","++++",NA
"83",83,2017,2017-07-03,"boxscore","BOS","@","TEX","W",7,5,11,"48-35",1,"up 3.0","Hembree","Frieri","","4:07","N","45448","+++++",NA
"84",84,2017,2017-07-04,"boxscore","BOS","@","TEX","W",11,4,NA,"49-35",1,"up 4.0","Price","Darvish","","3:56","N","43267","++++++",NA
"85",85,2017,2017-07-05,"boxscore","BOS","@","TEX","L",2,8,NA,"49-36",1,"up 4.0","Cashner","Fister","","2:52","N","32276","-",NA
"86",86,2017,2017-07-06,"boxscore","BOS","@","TBR","L",1,4,NA,"49-37",1,"up 3.5","Faria","Sale","Colome","2:43","N","23375","--",NA
"87",87,2017,2017-07-07,"boxscore","BOS","@","TBR","W",8,3,NA,"50-37",1,"up 4.5","Pomeranz","Odorizzi","","3:24","N","24842","+",NA
"88",88,2017,2017-07-08,"boxscore","BOS","@","TBR","L",0,1,NA,"50-38",1,"up 3.5","Cobb","Porcello","Colome","2:41","D","23419","-",NA
"89",89,2017,2017-07-09,"boxscore","BOS","@","TBR","L",3,5,NA,"50-39",1,"up 3.5","Boxberger","Kelly","Colome","3:07","D","20812","--",NA
"90",90,2017,2017-07-14,"boxscore","BOS","","NYY","W-wo",5,4,NA,"51-39",1,"up 3.5","Scott","Chapman","","3:27","N","37570","+",NA
"91",91,2017,2017-07-15,"boxscore","BOS","","NYY","L",1,4,16,"51-40",1,"up 2.5","Heller","Fister","","5:50","D","36936","-",NA
"92",92,2017,2017-07-16,"boxscore","BOS","","NYY","L",0,3,NA,"51-41",1,"up 3.0","Sabathia","Porcello","Chapman","3:13","D","37343","--",NA
"93",93,2017,2017-07-16,"boxscore","BOS","","NYY","W",3,0,NA,"52-41",1,"up 3.0","Price","Tanaka","Kimbrel","2:59","N","36719","+",NA
"94",94,2017,2017-07-17,"boxscore","BOS","","TOR","L",3,4,NA,"52-42",1,"up 2.0","Tepera","Hembree","Osuna","3:18","N","36144","-",NA
"95",95,2017,2017-07-18,"boxscore","BOS","","TOR","W-wo",5,4,15,"53-42",1,"up 2.0","Velazquez","Bolsinger","","4:59","N","36488","+",NA
"96",96,2017,2017-07-19,"boxscore","BOS","","TOR","W",5,1,NA,"54-42",1,"up 3.0","Pomeranz","Sanchez","","2:47","N","37360","++",NA
"97",97,2017,2017-07-20,"boxscore","BOS","","TOR","L",6,8,NA,"54-43",1,"up 2.5","Leone","Fister","Osuna","3:25","D","37094","-",NA
"98",98,2017,2017-07-21,"boxscore","BOS","@","LAA","W",6,2,NA,"55-43",1,"up 3.5","Sale","Nolasco","","3:05","N","37714","+",NA
"99",99,2017,2017-07-22,"boxscore","BOS","@","LAA","L",3,7,NA,"55-44",1,"up 3.5","Ramirez","Price","","3:07","N","43829","-",NA
"100",100,2017,2017-07-23,"boxscore","BOS","@","LAA","L",2,3,NA,"55-45",1,"up 2.5","Bridwell","Porcello","Norris","2:13","D","40471","--",NA
