"Date","Attendance","Opponent","Vs","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
2015-12-18,18624,"vsAtlanta",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.51,",,W",0.04,",,W,2400",0,",,W",NA,NA,49,"H,,S",52,",,W",39,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-12-21,18624,"vsMinnesota",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,16.11,",,W",0,",,W,2400",0,",,W",NA,NA,42,"H,,S",53,",,W",32,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2015-12-27,18624,"vsNew York",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.26,",,W",0.26,",,W,2400",0,",,W",NA,NA,46,"H,,S",50,",,W",38,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-01-02,18624,"vsBrooklyn",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,13.42,",,W",0,",,W,2400",0,",,W",NA,NA,35,"H,,S",40,",,W",31,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-01-06,18624,"vsDetroit",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.07,",,W",0,",,W,2400",0,",,W",NA,NA,30,"H,,S",45,",,W",21,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-01-13,18624,"vsIndiana",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,19.69,",,W",0,",,W,2400",0,"T,,W",NA,NA,29,"H,,S",33,",,W",21,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-01-15,18624,"vsPhoenix",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.49,",,W",0,",,W,2400",0,",,W",NA,NA,31,"H,,S",42,",,W",26,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-01-22,18624,"vsChicago",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,11.41,",,W",0,",,W,2400",0,",,W",NA,NA,24,"H,,S",32,",,W",19,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-01-27,18108,"vsDenver",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.08,",,W",0,",,W,2400",0,",,W",NA,NA,43,"H,,S",45,",,W",31,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
2016-01-29,17729,"vsOrlando",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,7.38,",,W",0,",,W,2400",0,"T,,W",NA,NA,36,"H,,S",41,",,W",33,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
