"","Date","Attendance","Opp","Vs","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","Year"
"14","2012-12-21",18624,"Milwaukee",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,21.25,",,X",0.65,",,X,2400",0,",,X",NA,NA,NA,"",52,",,X",38,",,X",1,",,W",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",1,",,X",NA,"",NA,NA,1,",,X",NA,NA,NA,"",NA,NA,NA,"","2012"
"15","2013-01-02",18624,"Memphis",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,13.65,",,X",0,"T,,X,2400",0,"T,,X",NA,NA,NA,"",30,",,X",12,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,1,",,X",NA,NA,NA,"","2013"
"16","2013-01-04",18624,"Indiana",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.97,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",38,",,X",21,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2013"
"17","2013-01-09",18624,"Phoenix",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,7.83,",,X",0,"T,,X,2400",0,",,X",NA,NA,NA,"",46,",,X",28,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,1,",,W",NA,"",NA,"",NA,"",NA,NA,1,",,X",NA,NA,NA,"",NA,NA,NA,"","2013"
"18","2013-01-11",18624,"Houston",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,4.47,",,X",0.12,",,X,2400",0,",,X",NA,NA,NA,"",40,",,X",31,",,X",1,",,W",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",1,",,X",NA,"",NA,NA,1,",,X",NA,NA,NA,"",NA,NA,NA,"","2013"
"19","2013-01-14",18624,"Charlotte",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,13.2,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",61,",,X",42,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2013"
"20","2013-01-16",18624,"New Orleans",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.49,",,X",0.37,",,X,2400",3.2,",,X",NA,NA,NA,"",36,",,X",30,",,X",NA,"",NA,"",NA,NA,1,",,X",NA,NA,NA,NA,NA,"",NA,"",NA,"",1,",,X",NA,NA,1,",,X",NA,NA,1,",,X",NA,NA,NA,"","2013"
"21","2013-01-18",18624,"Chicago",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.97,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",30,",,X",19,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2013"
"22","2013-01-24",18624,"New York",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,17.45,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",21,",,X",4,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2013"
"23","2013-01-27",18624,"Miami",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,13.87,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",32,",,X",14,",,X",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2013"
