"","X","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"107",107,2015,"2015-02-06","vsPhiladelphia","W107-96","19-30","18322","USW00014739","BOSTON, MA US",0,0,NA,12,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,2015,"2015-02-11","vsAtlanta","W89-88","20-31","16083","USW00014739","BOSTON, MA US",0.01,0.5,NA,22,25,14,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,2015,"2015-02-25","vsNew York","W115-94","22-33","16899","USW00014739","BOSTON, MA US",0.07,1.9,NA,23,35,14,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,2015,"2015-02-27","vsCharlotte","W106-98","23-33","18624","USW00014739","BOSTON, MA US",0,0,NA,20,27,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,2015,"2015-03-01","vsGolden State","L106-101","23-34","18624","USW00014739","BOSTON, MA US",0.17,1.9,NA,23,30,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,2015,"2015-03-04","vsUtah","W85-84","24-35","16354","USW00014739","BOSTON, MA US",0.02,0,NA,36,43,33,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,2015,"2015-03-11","vsMemphis","W95-92","27-36","17135","USW00014739","BOSTON, MA US",0.01,0,NA,46,57,37,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,2015,"2015-03-13","vsOrlando","W95-88","28-36","18624","USW00014739","BOSTON, MA US",0,0,NA,30,40,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,2015,"2015-03-16","vsPhiladelphia","W108-89","30-36","18624","USW00014739","BOSTON, MA US",0,0,NA,33,45,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,2015,"2015-03-22","vsDetroit","L105-97 OT","30-39","18624","USW00014739","BOSTON, MA US",0,0,NA,32,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,2015,"2015-03-25","vsMiami","L93-86","31-40","17366","USW00014739","BOSTON, MA US",0.04,0,NA,35,49,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,2015,"2015-03-29","vsLA","L119-106","32-41","18624","USW00014739","BOSTON, MA US",0,0,NA,33,42,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,2015,"2015-04-01","vsIndiana","W100-87","34-41","18624","USW00014739","BOSTON, MA US",0,0,NA,39,47,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,2015,"2015-04-03","vsMilwaukee","L110-101","34-42","18624","USW00014739","BOSTON, MA US",0.03,0,NA,54,59,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,2015,"2015-04-12","vsCleveland","W117-78","38-42","18624","USW00014739","BOSTON, MA US",0,0,NA,51,68,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,2015,"2015-04-14","vsToronto","W95-93","39-42","18624","USW00014739","BOSTON, MA US",0.01,0,NA,59,65,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,2015,"2015-10-28","vsPhiladelphia","W112-95","1-0","18624","USW00014739","BOSTON, MA US",0.36,0,NA,49,65,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,2015,"2015-10-30","vsToronto","L113-103","1-1","16898","USW00014739","BOSTON, MA US",0,0,NA,56,61,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,2015,"2015-11-01","vsSan Antonio","L95-87","1-2","17461","USW00014739","BOSTON, MA US",0,0,NA,53,62,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,2015,"2015-11-06","vsWashington","W118-98","2-3","18624","USW00014739","BOSTON, MA US",0,0,NA,67,73,62,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",127,2015,"2015-11-04","vsIndiana","L102-91","3-4","17879","USW00014739","BOSTON, MA US",0,0,NA,57,60,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,2015,"2015-11-13","vsAtlanta","W106-93","4-4","17138","USW00014739","BOSTON, MA US",0.01,0,NA,54,59,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,2015,"2015-11-18","vsDallas","L106-102","6-5","17262","USW00014739","BOSTON, MA US",0,0,NA,40,48,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,2015,"2015-11-20","vsBrooklyn","W120-95","7-5","18361","USW00014739","BOSTON, MA US",0.86,0,NA,56,61,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,2015,"2015-11-25","vsPhiladelphia","W84-80","8-7","17588","USW00014739","BOSTON, MA US",0,0,NA,39,44,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,2015,"2015-11-27","vsWashington","W111-78","9-7","18624","USW00014739","BOSTON, MA US",0,0,NA,54,64,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,2015,"2015-12-03","vsSacramento *","W114-97","11-8","18660","USW00014739","BOSTON, MA US",0,0,NA,48,52,41,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,2015,"2015-12-09","vsChicago","W105-100","13-9","17318","USW00014739","BOSTON, MA US",0,0,NA,40,46,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,2015,"2015-12-11","vsGolden State","L124-119 2OT","13-10","18624","USW00014739","BOSTON, MA US",0,0,NA,49,58,43,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",136,2015,"2015-12-15","vsCleveland","L89-77","14-11","18624","USW00014739","BOSTON, MA US",0.19,0,NA,55,61,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",137,2015,"2015-12-18","vsAtlanta","L109-101","14-13","18624","USW00014739","BOSTON, MA US",0.04,0,NA,49,52,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,2015,"2015-12-21","vsMinnesota","W113-99","15-13","18624","USW00014739","BOSTON, MA US",0,0,NA,42,53,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",139,2015,"2015-12-27","vsNew York","W100-91","18-13","18624","USW00014739","BOSTON, MA US",0.26,0,NA,46,50,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",140,2015,"2015-12-30","vsLos Angeles","L112-104","18-14","18624","USW00014739","BOSTON, MA US",0.03,0,NA,26,37,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",141,2016,"2016-01-02","vsBrooklyn","L100-97","18-15","18624","USW00014739","BOSTON, MA US",0,0,NA,35,40,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",142,2016,"2016-01-06","vsDetroit","L99-94","19-16","18624","USW00014739","BOSTON, MA US",0,0,NA,30,45,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",143,2016,"2016-01-13","vsIndiana","W103-94","20-19","18624","USW00014739","BOSTON, MA US",0,0,NA,29,33,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",144,2016,"2016-01-15","vsPhoenix","W117-103","21-19","18624","USW00014739","BOSTON, MA US",0,0,NA,31,42,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",145,2016,"2016-01-22","vsChicago","W110-101","23-21","18624","USW00014739","BOSTON, MA US",0,0,NA,24,32,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",146,2016,"2016-01-27","vsDenver","W111-103","26-21","18108","USW00014739","BOSTON, MA US",0,0,NA,43,45,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",147,2016,"2016-01-29","vsOrlando","W113-94","27-21","17729","USW00014739","BOSTON, MA US",0,0,NA,36,41,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",148,2016,"2016-02-03","vsDetroit","W102-95","29-22","17297","USW00014739","BOSTON, MA US",0.33,0,NA,42,57,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",149,2016,"2016-02-07","vsSacramento","W128-119","31-22","18624","USW00014739","BOSTON, MA US",0,0,NA,34,44,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",150,2016,"2016-02-10","vsLA","W139-134 OT","32-23","18186","USW00014739","BOSTON, MA US",0,0.1,NA,28,36,20,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",151,2016,"2016-02-25","vsMilwaukee","W112-107","34-25","18157","USW00014739","BOSTON, MA US",0.81,0,NA,54,62,41,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",152,2016,"2016-02-27","vsMiami","W101-89","35-25","18624","USW00014739","BOSTON, MA US",0,0,NA,29,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",153,2016,"2016-02-29","vsUtah","W100-95","36-25","17680","USW00014739","BOSTON, MA US",0,0,NA,50,64,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",154,2016,"2016-03-02","vsPortland","W116-93","37-25","18624","USW00014739","BOSTON, MA US",0.37,0,NA,43,53,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",155,2016,"2016-03-04","vsNew York","W105-104","38-25","18624","USW00014739","BOSTON, MA US",0.01,0.5,NA,29,31,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",156,2016,"2016-03-09","vsMemphis","W116-96","39-26","17790","USW00014739","BOSTON, MA US",0,0,NA,53,77,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,2016,"2016-03-11","vsHouston","L102-98","39-27","18624","USW00014739","BOSTON, MA US",0.09,0,NA,48,50,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",158,2016,"2016-03-16","vsOklahoma City","L130-109","39-29","18624","USW00014739","BOSTON, MA US",0.03,0,NA,43,48,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",159,2016,"2016-03-21","vsOrlando","W107-96","41-30","18624","USW00014739","BOSTON, MA US",0.22,3.6,NA,33,44,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",160,2016,"2016-03-23","vsToronto","W91-79","42-30","18624","USW00014739","BOSTON, MA US",0,0,NA,49,63,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",161,2016,"2016-04-06","vsNew Orleans","W104-97","46-32","18624","USW00014739","BOSTON, MA US",0,0,NA,33,42,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",162,2016,"2016-04-08","vsMilwaukee","W124-109","47-32","18624","USW00014739","BOSTON, MA US",0,0,NA,49,53,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,2016,"2016-04-11","vsCharlotte","L114-100","47-34","18624","USW00014739","BOSTON, MA US",0.01,0,NA,48,60,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,2016,"2016-04-13","vsMiami","W98-88","48-34","18624","USW00014739","BOSTON, MA US",0,0,NA,45,50,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,2016,"2016-10-26","vsBrooklyn","W122-117","1-0","18624","USW00014739","BOSTON, MA US",0,0,NA,42,49,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,2016,"2016-11-02","vsChicago","W107-100","3-1","18624","USW00014739","BOSTON, MA US",0,0,NA,55,70,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,2016,"2016-11-06","vsDenver","L123-107","3-3","17452","USW00014739","BOSTON, MA US",0.09,0,NA,48,52,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,2016,"2016-11-11","vsNew York","W115-87","4-4","18624","USW00014739","BOSTON, MA US",0,0,NA,50,60,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,2016,"2016-11-16","vsDallas","W90-83","6-5","18624","USW00014739","BOSTON, MA US",0.03,0,NA,53,55,51,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,2016,"2016-11-18","vsGolden State","L104-88","6-6","18624","USW00014739","BOSTON, MA US",0,0,NA,50,63,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,2016,"2016-11-25","vsSan Antonio","L109-103","9-7","18624","USW00014739","BOSTON, MA US",0.03,0,NA,42,48,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,2016,"2016-11-30","vsDetroit","L121-114","10-8","17338","USW00014739","BOSTON, MA US",0.91,0,NA,48,52,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",173,2016,"2016-12-02","vsSacramento","W97-92","11-8","18624","USW00014739","BOSTON, MA US",0,0,NA,45,51,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,2016,"2016-12-09","vsToronto","L101-94","13-10","18624","USW00014739","BOSTON, MA US",0,0,NA,34,37,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,2016,"2016-12-16","vsCharlotte","W96-88","14-12","18624","USW00014739","BOSTON, MA US",0,0,NA,13,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,2016,"2016-12-23","vsOklahoma City","L117-112","17-13","18624","USW00014739","BOSTON, MA US",0,0,NA,39,46,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,2016,"2016-12-27","vsMemphis","W113-103","19-13","18624","USW00014739","BOSTON, MA US",0,0,NA,51,58,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",178,2016,"2016-12-30","vsMiami","W117-114","20-14","18624","USW00014739","BOSTON, MA US",0,0,NA,36,41,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",179,2017,"2017-01-03","vsUtah","W115-104","21-14","18624","USW00014739","BOSTON, MA US",0.89,0,NA,41,44,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",180,2017,"2017-01-06","vsPhiladelphia","W110-106","22-14","18624","USW00014739","BOSTON, MA US",0.06,1.1,NA,29,31,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",181,2017,"2017-01-07","vsNew Orleans","W117-108","23-14","18624","USW00014739","BOSTON, MA US",0.53,7,NA,23,24,17,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",182,2017,"2017-01-11","vsWashington","W117-108","24-15","18624","USW00014739","BOSTON, MA US",0.09,0,NA,45,55,39,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",183,2017,"2017-01-16","vsCharlotte","W108-98","26-15","18624","USW00014739","BOSTON, MA US",0,0,NA,31,42,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",184,2017,"2017-01-18","vsNew York","L117-106","26-16","18624","USW00014739","BOSTON, MA US",0.36,0,NA,38,40,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",185,2017,"2017-01-21","vsPortland","L127-123 OT","26-17","18624","USW00014739","BOSTON, MA US",0,0,NA,43,55,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",186,2017,"2017-01-25","vsHouston","W120-109","27-18","18624","USW00014739","BOSTON, MA US",0.02,0,NA,38,44,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",187,2017,"2017-01-27","vsOrlando","W128-98","28-18","18624","USW00014739","BOSTON, MA US",0,0,NA,41,44,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",188,2017,"2017-01-30","vsDetroit","W113-109","30-18","18188","USW00014739","BOSTON, MA US",0,0,NA,33,36,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",189,2017,"2017-02-01","vsToronto","W109-104","31-18","18624","USW00014739","BOSTON, MA US",0.05,0.8,NA,32,43,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",190,2017,"2017-02-03","vsLos Angeles","W113-107","32-18","18624","USW00014739","BOSTON, MA US",0,0,NA,30,33,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",191,2017,"2017-02-05","vsLA","W107-102","33-18","18624","USW00014739","BOSTON, MA US",0,0,NA,32,44,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",192,2017,"2017-02-15","vsPhiladelphia","W116-108","37-19","18624","USW00014739","BOSTON, MA US",0.22,0.1,NA,32,40,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",193,2017,"2017-02-27","vsAtlanta","L114-98","38-22","18624","USW00014739","BOSTON, MA US",0,0,NA,40,55,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",194,2017,"2017-03-01","vsCleveland","W103-99","39-22","18624","USW00014739","BOSTON, MA US",0.02,0,NA,53,63,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",195,2017,"2017-03-12","vsChicago","W100-80","42-25","18624","USW00014739","BOSTON, MA US",0,0,NA,17,27,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",196,2017,"2017-03-15","vsMinnesota","W117-104","43-25","18624","USW00014739","BOSTON, MA US",0,0,NA,26,28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",197,2017,"2017-03-20","vsWashington","W110-102","45-26","18624","USW00014739","BOSTON, MA US",0,0,NA,40,53,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",198,2017,"2017-03-22","vsIndiana","W109-100","46-26","18624","USW00014739","BOSTON, MA US",0,0,NA,38,43,18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",199,2017,"2017-03-24","vsPhoenix","W130-120","47-26","18624","USW00014739","BOSTON, MA US",0.03,0,NA,35,47,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",200,2017,"2017-03-26","vsMiami","W112-108","48-26","18624","USW00014739","BOSTON, MA US",0,0,NA,36,41,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",201,2017,"2017-03-29","vsMilwaukee","L103-100","48-27","18624","USW00014739","BOSTON, MA US",0.06,0,NA,40,47,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",202,2017,"2017-03-31","vsOrlando","W117-116","49-27","18624","USW00014739","BOSTON, MA US",0.87,0.6,NA,37,40,33,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",203,2017,"2017-04-05","vsCleveland","L114-91","50-28","18624","USW00014739","BOSTON, MA US",0,0,NA,40,41,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",204,2017,"2017-04-10","vsBrooklyn","W114-105","52-29","18624","USW00014739","BOSTON, MA US",0,0,NA,59,76,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",205,2017,"2017-04-12","vsMilwaukee","W112-94","53-29","18624","USW00014739","BOSTON, MA US",0.02,0,NA,55,60,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",206,2017,"2017-10-18","vsMilwaukeeMilwaukee","L108-100","0-2","18624","USW00014739","BOSTON, MA US",0,0,NA,57,72,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",207,2017,"2017-10-24","vsNew YorkNew York","W110-89","2-2","18624","USW00014739","BOSTON, MA US",0.07,0,NA,66,75,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",208,2017,"2017-10-30","vsSan AntonioSan Antonio","W108-94","5-2","18624","USW00014739","BOSTON, MA US",0.94,0,NA,59,65,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",209,2017,"2017-11-01","vsSacramentoSacramento","W113-86","6-2","18624","USW00014739","BOSTON, MA US",0,0,NA,48,53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",210,2017,"2017-11-08","vsLos AngelesLos Angeles","W107-96","10-2","18624","USW00014739","BOSTON, MA US",0.03,0,NA,40,45,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",211,2017,"2017-11-10","vsCharlotteCharlotte","W90-87","11-2","18624","USW00014739","BOSTON, MA US",0.02,0,NA,41,49,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",212,2017,"2017-11-12","vsTorontoToronto","W95-94","12-2","18624","USW00014739","BOSTON, MA US",0,0,NA,35,44,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",213,2017,"2017-11-16","vsGolden StateGolden State","W92-88","14-2","18624","USW00014739","BOSTON, MA US",0.19,0,NA,44,50,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",214,2017,"2017-11-24","vsOrlandoOrlando","W118-103","17-3","18624","USW00014739","BOSTON, MA US",0,0,NA,39,50,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",215,2017,"2017-11-27","vsDetroitDetroit","L118-108","18-4","18624","USW00014739","BOSTON, MA US",0,0,NA,39,47,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",216,2017,"2017-11-30","vsPhiladelphiaPhiladelphia","W108-97","19-4","18624","USW00014739","BOSTON, MA US",0,0,NA,39,45,30,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",217,2017,"2017-12-02","vsPhoenixPhoenix","W116-111","20-4","18624","USW00014739","BOSTON, MA US",0,0,NA,39,43,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",218,2017,"2017-12-04","vsMilwaukeeMilwaukee","W111-100","21-4","18624","USW00014739","BOSTON, MA US",0,0,NA,39,43,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",219,2017,"2017-12-06","vsDallasDallas","W97-90","22-4","18624","USW00014739","BOSTON, MA US",0.46,0,NA,51,58,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",220,2017,"2017-12-13","vsDenverDenver","W124-118","24-6","18624","USW00014739","BOSTON, MA US",0,0,NA,28,36,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",221,2017,"2017-12-15","vsUTAHUTAH","L107-95","24-7","18624","USW00014739","BOSTON, MA US",0,0,NA,22,27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",222,2017,"2017-12-20","vsMiamiMiami","L90-89","26-7","18624","USW00014739","BOSTON, MA US",0,0,NA,43,47,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",223,2017,"2017-12-23","vsChicagoChicago","W117-92","27-9","18624","USW00014739","BOSTON, MA US",0.58,0,NA,30,43,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",224,2017,"2017-12-25","vsWashingtonWashington","L111-103","27-10","18624","USW00014739","BOSTON, MA US",0.44,2.9,NA,33,38,23,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"225",225,2017,"2017-12-28","vsHoustonHouston","W99-98","29-10","18624","USW00014739","BOSTON, MA US",0,0,NA,10,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",226,2017,"2017-12-31","vsBrooklynBrooklyn","W108-105","30-10","18624","USW00014739","BOSTON, MA US",0,0,NA,12,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
