"","X","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"27",27,2013,"2013-02-07","vsLos Angeles","W116-95","26-23","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,2013,"2013-02-10","vsDenver","W118-114 3OT","27-23","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,36,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,2013,"2013-02-13","vsChicago","W71-69","28-24","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,42,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,2013,"2013-03-01","vsGolden State","W94-86","31-27","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,41,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,2013,"2013-03-08","vsAtlanta","W107-102 OT","34-27","18624","USW00014739","BOSTON, MA US",0.94,10.5,NA,NA,42,28,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA
"32",32,2013,"2013-03-13","vsToronto","W112-88","35-29","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,51,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"33",33,2013,"2013-03-16","vsCharlotte","W105-88","36-29","18624","USW00014739","BOSTON, MA US",0,0,NA,NA,40,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,2013,"2013-03-18","vsMiami","L105-103","36-30","18624","USW00014739","BOSTON, MA US",0.12,0.9,NA,NA,33,21,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1
"35",35,2013,"2013-03-26","vsNew York","L100-85","36-34","18624","USW00014739","BOSTON, MA US",0.05,0,NA,NA,50,34,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA
"36",36,2013,"2013-03-29","vsAtlanta","W118-107","38-34","18624","USW00014739","BOSTON, MA US",0.01,0,NA,NA,56,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"37",37,2013,"2013-04-03","vsDetroit","W98-93","39-36","18624","USW00014739","BOSTON, MA US",0,0,NA,37,47,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,2013,"2013-04-05","vsCleveland","L97-91","39-37","18624","USW00014739","BOSTON, MA US",0,0,NA,46,57,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,2013,"2013-04-07","vsWashington","W107-96","40-37","18624","USW00014739","BOSTON, MA US",0,0,NA,42,54,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,2013,"2013-04-10","vsBrooklyn","L101-93","40-38","18624","USW00014739","BOSTON, MA US",0.19,0,NA,47,54,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,2013,"2013-11-01","vsMilwaukee","L105-98","0-2","18,624","USW00014739","BOSTON, MA US",0.03,0,NA,65,72,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,2013,"2013-11-06","vsUtah","W97-87","1-4","17,130","USW00014739","BOSTON, MA US",0,0,NA,49,61,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,2013,"2013-11-11","vsOrlando","W120-105","4-4","18,624","USW00014739","BOSTON, MA US",0,0,NA,46,53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,2013,"2013-11-13","vsCharlotte","L89-83","4-5","17,032","USW00014739","BOSTON, MA US",0,0,NA,31,38,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
