"","Gm.","Year","DATE","X","Tm","Opp","W.L","Win","Loss","Save","Time","D.N","Attendance","TAVG","TMAX","TMIN"
"926",116,2012,"2012-08-12","boxscore","BOS","NYY","W","Pomeranz","Severino","","3:13","D",47241,NA,84,72
"927",117,2012,"2012-08-13","boxscore","BOS","NYY","W","Kimbrel","Chapman","","3:40","N",46610,NA,86,71
"928",118,2012,"2012-08-14","boxscore","BOS","CLE","L","Bauer","Fister","","3:14","N",37430,NA,83,70
"929",119,2012,"2012-08-15","boxscore","BOS","STL","W","Porcello","Leake","","2:52","N",37345,NA,84,66
"930",120,2012,"2012-08-16","boxscore","BOS","STL","W-wo","Kimbrel","Duke","","3:35","N",37181,NA,85,67
"931",121,2012,"2012-08-18","boxscore","BOS","NYY","W","Reed","Kahnle","Kimbrel","4:09","N",36784,NA,72,64
"932",122,2012,"2012-08-19","boxscore","BOS","NYY","L","Sabathia","Sale","Betances","3:09","N",37274,NA,73,61
"933",123,2012,"2012-08-20","boxscore","BOS","NYY","W","Porcello","Gray","","3:36","D",36911,NA,75,62
"934",124,2012,"2012-08-21","boxscore","BOS","CLE","L-wo","Allen","Workman","","3:39","N",21428,NA,83,66
"935",125,2012,"2012-08-22","boxscore","BOS","CLE","W","Fister","Carrasco","","2:41","N",19563,NA,78,66
"936",126,2012,"2012-08-23","boxscore","BOS","CLE","W","Pomeranz","Kluber","","3:11","N",25346,NA,87,66
"937",127,2012,"2012-08-24","boxscore","BOS","CLE","L","Bauer","Sale","","3:28","N",21643,NA,78,68
"938",128,2012,"2012-08-25","boxscore","BOS","BAL","L","Hellickson","Porcello","","3:37","N",37191,NA,77,66
"939",129,2012,"2012-08-26","boxscore","BOS","BAL","L","Gausman","Rodriguez","","2:58","D",36655,NA,76,64
"940",130,2012,"2012-08-27","boxscore","BOS","BAL","L","Miley","Fister","Brach","3:22","D",36625,NA,85,62
"941",131,2012,"2012-08-28","boxscore","BOS","TOR","W","Pomeranz","Barnes","Kimbrel","3:23","N",35630,NA,86,68
"942",132,2012,"2012-08-29","boxscore","BOS","TOR","W","Sale","Anderson","Kimbrel","2:44","N",34674,NA,75,62
"943",133,2012,"2012-08-30","boxscore","BOS","TOR","W","Porcello","Koehler","","2:58","N",37693,NA,83,60
"944",134,2012,"2012-08-31","boxscore","BOS","NYY","L","Sabathia","Rodriguez","","3:44","N",43309,NA,90,68
"945",135,2012,"2012-09-01","boxscore","BOS","NYY","W","Fister","Gray","Kimbrel","2:44","N",42332,NA,80,63
"946",136,2012,"2012-09-02","boxscore","BOS","NYY","L","Tanaka","Pomeranz","","2:58","D",46536,NA,73,62
"947",137,2012,"2012-09-03","boxscore","BOS","NYY","L","Severino","Sale","","3:46","N",46717,NA,72,59
"948",138,2012,"2012-09-04","boxscore","BOS","TOR","L","Happ","Porcello","","3:25","N",34311,NA,73,63
"949",139,2012,"2012-09-05","boxscore","BOS","TOR","W-wo","Velazquez","Rowley","","6:00","N",33009,NA,82,66
"950",140,2012,"2012-09-06","boxscore","BOS","TOR","W","Fister","Biagini","","2:57","N",33190,NA,79,65
"951",141,2012,"2012-09-08","boxscore","BOS","TBR","W","Pomeranz","Archer","","3:14","N",34781,NA,82,67
"952",142,2012,"2012-09-09","boxscore","BOS","TBR","W","Sale","Andriese","","3:05","N",36734,NA,75,62
"953",143,2012,"2012-09-10","boxscore","BOS","TBR","L","Cobb","Porcello","Colome","3:22","D",35859,NA,69,56
"954",144,2012,"2012-09-12","boxscore","BOS","OAK","W","Rodriguez","Manaea","","3:06","N",34355,NA,73,53
"955",145,2012,"2012-09-13","boxscore","BOS","OAK","L","Cotton","Fister","","3:07","N",36366,NA,82,60
"956",146,2012,"2012-09-14","boxscore","BOS","OAK","W","Pomeranz","Gossett","","3:19","D",35470,NA,81,61
"957",147,2012,"2012-09-15","boxscore","BOS","TBR","W","Workman","Pruitt","","6:05","N",16006,NA,74,59
"958",148,2012,"2012-09-16","boxscore","BOS","TBR","W","Porcello","Cobb","Kimbrel","2:44","N",14942,NA,71,54
"959",149,2012,"2012-09-17","boxscore","BOS","TBR","L","Odorizzi","Rodriguez","Colome","2:37","D",14936,NA,70,53
"960",150,2012,"2012-09-18","boxscore","BOS","BAL","W","Barnes","Castro","Smith","4:24","N",16716,NA,75,58
"961",151,2012,"2012-09-19","boxscore","BOS","BAL","W","Kelly","Brach","Barnes","3:27","N",21449,NA,72,55
"962",152,2012,"2012-09-20","boxscore","BOS","BAL","W","Sale","Miley","","3:11","N",16906,NA,62,51
"963",153,2012,"2012-09-22","boxscore","BOS","CIN","W","Price","Romano","Kimbrel","2:45","N",23463,NA,67,56
"964",154,2012,"2012-09-23","boxscore","BOS","CIN","W","Rodriguez","Stephenson","","2:51","D",36076,NA,71,56
"965",155,2012,"2012-09-24","boxscore","BOS","CIN","W","Scott","Iglesias","Kimbrel","3:11","D",25545,NA,67,51
"966",156,2012,"2012-09-25","boxscore","BOS","TOR","L","Anderson","Pomeranz","Osuna","2:57","N",33940,NA,73,49
"967",157,2012,"2012-09-26","boxscore","BOS","TOR","L","Happ","Sale","","3:04","N",33999,NA,74,59
"968",158,2012,"2012-09-27","boxscore","BOS","TOR","W","Porcello","Estrada","","2:57","N",34445,NA,69,55
"969",159,2012,"2012-09-28","boxscore","BOS","HOU","L","Peacock","Rodriguez","","3:31","N",34222,NA,58,54
"970",160,2012,"2012-09-29","boxscore","BOS","HOU","L","Morton","Fister","Giles","2:47","N",36623,NA,57,54
"971",161,2012,"2012-09-30","boxscore","BOS","HOU","W","Pomeranz","McCullers","","3:19","D",35722,NA,59,53
"972",162,2012,"2012-10-01","boxscore","BOS","HOU","L","McHugh","Abad","Clippard","3:09","D",34517,NA,68,50
